Fecha,Encuestador,Departamento,Municipio,Vereda o Corregimiento,Dirección,Documento,Teléfono,Fecha en que obtuvo el filtro,Fuente donde toma el agua,¿Por qué usas el filtro de arcilla?,¿Cuánto tiempo dura el agua almacenada? (días),¿Cuántas veces al día recarga el filtro?,¿Qué miembro de la familia recarga el filtro?,¿En qué emplea el agua del filtro?,¿Qué cambios ha notado con el filtro?,Percepción del agua después de recibir el filtro,¿Qué opina del sabor del agua?,¿El agua presenta color?,¿El agua presenta olor?,¿Han disminuido las enfermedades por agua?,¿Han disminuido los gastos por agua apta?,¿Cuánto gasta actualmente?,¿Cada cuánto realiza mantenimiento?,Productos limpieza (arcilla),Productos limpieza (plástico),¿Conoce vida útil de la arcilla?,¿Sabe dónde conseguir repuestos?,¿El filtro está en un lugar estable y/o seguro?,¿El filtro está ensamblado y tapado?,¿El filtro está limpio externamente?,¿Lavado de manos previo a la manipulación?,Manipulación adecuada de la arcilla,Limpieza del tanque (sin sedimentos),Limpieza de la vasija (sin sedimentos),¿Se evidencian fisuras en la arcilla?,¿La vasija presenta niveles de agua que imposibiliten su manipulación?,¿Cuenta con instalación de lavado de manos?,¿Dispone de jabón para lavado de manos,Observaciones,Timestamp (ms),Latitud,Altitud,Aprobado,Creado En,GPS
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Vereda sin dirección,1110001,3840330501,08/12/2025,Pozo,Siempre ha sido así,7,1,Mama,Doméstico y consumo,No nota cambios,Clara y buena,Regular,Si,Si,No,No,45000,36,Jabon,Jabon,Si,No,Si,Si,No,No,No,No,No,No,Si,Si,No,Hepatitis,1.7628E+12,37.4219983,5,X,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Valle del Cauca,Bolívar,CoV-LA PLAYA,Carrera 8#10-05,1110002,3931179200,0000-00-00,Pozo,Es más económica,2,3,Abuelo,Solo consumo,Ahora sale con menos olor,Un poco turbia,Regular,No,Si,No,Si,30000,30,Jabon,Jabon,No,No,No,No,Si,No,Si,No,No,Si,No,Si,Si,Ninguna,1.7628E+12,37.4219983,5,X,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Vereda sin dirección,1110003,3511449561,08/08/2025,Pozo,Es mas Sencillo,7,0,Abuelo,Solo consumo,Es mas limpio el agua,Clara y buena,Mala,No,Si,Si,No,35000,49,Jabon,Detergente,No,No,Si,No,Si,No,No,Si,No,Si,No,Si,Si,Diarrea,1.7628E+12,37.4219983,5,X,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
04/02/2025,María Fernanda,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 34#09-01,1110012,3336369878,0000-00-00,Grifo,Es más económica,4,1,Hijo,Riego y consumo,Hay menos sedimentos,Un poco turbia,Regular,Si,No,Si,No,55000,15,Jabon,Jabon,No,Si,Si,Si,No,No,Si,Si,Si,No,No,No,Si,Ninguna,1.7628E+12,37.4219983,5,X,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
10/07/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera 8#10-05,1110014,3384462583,0000-00-00,Pozo,Es más económica,4,0,Mama,Riego y consumo,No nota cambios,Un poco turbia,Buena,Si,No,Si,Si,65000,48,Jabon,Detergente,Si,No,Si,No,Si,Si,Si,No,Si,No,No,Si,No,Hepatitis,1.7628E+12,37.4219983,5,X,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Carrera 8#10-05,1110018,3908408285,01/08/2025,Naciente,Queda más cerca,3,1,Hijo,Solo consumo,Ahora sale con menos olor,Clara y buena,Mala,No,No,Si,No,85000,32,Jabon,Jabon,No,No,Si,Si,Si,No,Si,No,Si,No,Si,No,Si,Vómito,1.7628E+12,37.4219983,5,X,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Mz 3 Casa 7,1110020,3961239826,10/04/2025,Grifo,Es más económica,8,1,Hijo,Doméstico y consumo,No nota cambios,Clara y buena,Buena,Si,No,No,No,15000,50,Jabon,Jabon,No,Si,No,No,Si,No,Si,No,No,No,Si,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Mz 3 Casa 7,1110021,3172681827,0000-00-00,Naciente,Siempre ha sido así,6,4,Mama,Riego y consumo,No nota cambios,Clara y buena,Buena,No,Si,No,Si,20000,32,Jabon,Detergente,No,Si,Si,No,No,Si,No,Si,Si,Si,No,Si,Si,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Carrera 8#10-05,1110024,3803273358,0000-00-00,Pozo,Es mas Sencillo,2,3,Abuelo,Doméstico y consumo,No nota cambios,Clara y buena,Mala,No,Si,Si,No,50000,51,Jabon,Jabon,No,Si,No,Si,No,No,Si,No,No,No,Si,No,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-LA PLAYA,Mz 3 Casa 7,1110025,3809912507,0000-00-00,Naciente,Siempre ha sido así,5,0,Mama,Riego y consumo,Es mas limpio el agua,Clara y buena,Regular,Si,No,Si,Si,90000,14,Jabon,Detergente,Si,No,No,Si,No,Si,No,Si,No,Si,No,No,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Mz 3 Casa 7,1110034,3771952509,0000-00-00,Grifo,Es más económica,8,2,Abuelo,Solo consumo,No nota cambios,Un poco turbia,Regular,Si,No,Si,Si,35000,30,Jabon,Detergente,Si,Si,Si,No,Si,Si,Si,Si,Si,No,No,Si,Si,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 34#09-01,1110038,3833974388,0000-00-00,Naciente,Es más económica,3,4,Abuelo,Cosas Domesticas,No nota cambios,Un poco turbia,Buena,Si,Si,Si,Si,30000,58,Jabon,Detergente,Si,No,Si,Si,No,No,Si,Si,No,No,Si,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Carrera 8#10-05,1110043,3224838151,0000-00-00,Pozo,Siempre ha sido así,3,2,Padre,Solo consumo,No nota cambios,Clara,Regular,Si,No,Si,No,55000,56,Jabon,Jabon,Si,No,No,Si,Si,Si,Si,Si,No,Si,No,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Vereda sin dirección,1110046,3251854360,08/01/2025,Grifo,Siempre ha sido así,5,2,Mama,Solo consumo,No nota cambios,Un poco turbia,Buena,No,No,No,Si,85000,34,Jabon,Jabon,Si,No,Si,Si,Si,No,Si,No,No,Si,No,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
