Fecha,Responsable,"Empresa / Equipo","No. Cédula","Tipo de beneficiario","Grupo Poblacional","Nombre del beneficiado",Cédula,"Teléfono (wsp)",Departamento,Municipio,"Vereda / Corregimiento",Dirección,"Menor de 5 años","Entre 6 y 17 años","Entre 18 y 64 años","Mayor de 65 años","Tiene agua disponible para sus actividades diarias.","¿De dónde toma el agua?","¿Utiliza otra fuente de agua?","¿Quién administra el servicio?","¿Cuántas horas al día cuenta con agua?","¿Tiene que desplazarse para acceder al agua?","¿Qué medio utiliza?","¿Cuánto tiempo se demora? (min)","Percepción del agua","¿Qué opina del sabor del agua?","¿El agua es clara, oscura o por temporada?","¿Presenta olores?","¿Almacena agua en tanque?","¿Realiza tratamientos al agua? (Opción múltiple)","En caso de hervir el agua, ¿cómo lo hace?","¿Quién realiza estas labores?","¿Cuánto dinero invierte al mes?","¿El agua tiene contacto con fuentes de contaminación? (Opción múltiple)","¿La fuente está protegida?","¿Es importante consumir agua de calidad?","Beneficios de consumir agua potable (Opción múltiple)","¿Cuenta con sanitario (taza)?","¿Tiene fosa séptica/pozo séptico/alcantarillado?","¿Ha recibido capacitación en higiene?","Prácticas: Lavado de manos","Prácticas: Limpieza del hogar","Prácticas: Cepillado dental","Prácticas: Otras","Prácticas: Baño diario","¿Presentan dolores de estómago?","¿Se han presentado enfermedades hídricas? (Opción múltiple)",Observaciones,"Timestamp (ms)",Latitud,Altitud,Aprobado,"Creado En",GPS
2025-07-10,Simon,UESVALLE,1113779787,Nose,Nose,Arturo,100836061,3138569636,"Valle del Cauca",Andalucía,ALTAMIRA,Calle43#109-78,4,5,5,3,Si,GFrifo,Si,Nose,9,Si,Carro,89,Bien,Bien,Calra,Si,Si,"Hervir,Filtrar,Clorar",Hervir,Senora,0.00,"Animales,Aguas Residuales,Basuras,Químicos",Si,Si,"Mejor Salud,Mejor Sabor,Menos enfermedades,Ahorro Económico",Si,No,Si,Si,Si,Si,No,Si,Si,"Diarrea,Vómito,Hepatitis,Parásitos",Nose,1760977198283,37.4219983,5.00,0,"2025-10-20 11:22:35","https://www.google.com/maps/?q=37.4219983,5.00"
2025-01-10,JHON,UESVALLE,11113779787,Muizca,Muizcano,Jairo,10038945,3153207175,"Valle del Cauca",Andalucía,ALTAMIRA,"Calle 43",0,7,9,5,5,SI,Grifo,SI,0,7,SI,0,8,Buena,Buena,Clara,SI,SI,"Hervir,Filtrar,Clorar",Hervir,0.00,5000,"Animales,Aguas Residuales,Basuras,Químicos",SI,SI,"Mejor Salud,Mejor Sabor,Menos enfermedades,Ahorro ",SI,SI,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Diarrea,Vómito,Cólera,Hepatitis,Parásitos",Nose,,,,1761575172640,,,0,"2025-11-14 02:09:16",
0000-00-00,"Carlos Pérez",UESVALLE,1110000001,Finca,NA,"Juan Esteban",9134181,3116629531,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Mz,0,7,2,5,2,NO,Naciente,NO,0,20,SI,0,61,Mala,Regular,Turbia,NO,NO,Hervir,Tanque,0.00,55000,"Animales,Aguas Residuales,Químicos",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,NO,"Lavado de manos,Cepillado de dientes",SI,"Vómito,Cólera,Hepatitis","Sin observaciones",,,,1762000000001,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-12-02,"Laura Gómez",UESVALLE,1110000007,Finca,NA,"Juan Esteban",7408466,3351310872,"Valle del Cauca",Andalucía,"CoV-EL BOSQUE",Cra,0,8,4,4,0,SI,Grifo,NO,0,8,NO,0,28,Mala,Mala,Clara,SI,SI,Filtrar,Olla,0.00,80000,"Basuras,Animales",SI,NO,"Ahorro Económico,Mejor Sabor",SI,SI,NO,"Solo consumo humano",NO,"Diarrea,Vómito","Se observan mejoras",,,,1762000000007,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
2025-11-09,"Ana María",Uesvalle,1110000011,Comercio,NA,"Ana María",5006666,3921656079,"Valle del Cauca",Andalucía,"CoV-EL JARDÍN",Mz,0,2,1,4,2,SI,Naciente,SI,0,20,SI,0,57,Mala,Regular,Turbia,NO,NO,"Hervir,Filtrar",Olla,0.00,45000,"Animales,Aguas Residuales,Químicos",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,NO,SI,"Solo consumo humano",SI,Hepatitis,"Visita al lugar presentaba fallas",,,,1762000000011,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Carlos Pérez",Uesvalle,1110000018,Comercio,NA,"Juan Esteban",9201223,3808836481,"Valle del Cauca",Andalucía,CoV-CAMPOALEGRE,Call,0,6,4,1,2,SI,Pozo,SI,0,24,NO,0,45,Mala,Regular,Turbia,NO,NO,"Hervir,Filtrar",Botellón,0.00,35000,"Químicos,Metales Pesados",SI,NO,"Mejor Salud",SI,SI,NO,"Lavado de manos,Cepillado de dientes",NO,"Vómito,Cólera,Hepatitis","Sin observaciones",,,,1762000000018,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Ana María",UESVALLE,1110000020,Vivienda,NA,"Laura Gómez",6426198,3562612082,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Cra,0,2,0,4,1,SI,Naciente,SI,0,4,SI,0,94,Buena,Buena,Clara,NO,NO,"Hervir,Filtrar",Olla,0.00,85000,"Animales,Aguas Residuales,Químicos",NO,NO,"Mejor Salud",NO,NO,SI,"Solo consumo humano",SI,"Vómito,Cólera,Hepatitis","Sin observaciones",,,,1762000000020,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Carlos Pérez",Uesvalle,1110000022,Vivienda,NA,"Christian Frank",3130589,3776534497,"Valle del Cauca",Andalucía,"CoV-BUENOS AIRES",Carrera,0,7,0,3,2,SI,Pozo,NO,0,19,NO,0,28,Mala,Buena,Turbia,NO,SI,Filtrar,Botellón,0.00,25000,"Aguas Residuales",SI,SI,"Ahorro Económico,Mejor Sabor",NO,NO,SI,"Lavado de manos,Cepillado de dientes",SI,"Vómito,Cólera,Hepatitis","Visita al lugar sin novedad",,,,1762000000022,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Christian Frank",Uesvalle,1110000026,Vivienda,NA,"María Fernanda",8972464,3716099353,"Valle del Cauca",Andalucía,CoV-CAMPOALEGRE,Calle,0,5,3,5,1,SI,Grifo,SI,0,22,NO,0,56,Mala,Regular,Clara,SI,NO,"Hervir,Filtrar",Tanque,0.00,95000,"Animales,Aguas Residuales,Químicos",NO,NO,"Mejor Salud",SI,SI,SI,"Solo consumo humano",NO,"Diarrea,Vómito","Visita al lugar presentaba fallas",,,,1762000000026,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,"Carlos Pérez",Uesvalle,1110000028,Comercio,NA,"María Fernanda",8832691,3156843187,"Valle del Cauca",Andalucía,"CoV-LA PLAYA",Cra,0,6,4,4,0,SI,Naciente,NO,0,10,SI,0,118,Buena,Buena,Turbia,SI,NO,Filtrar,Botellón,0.00,75000,"Basuras,Animales",SI,SI,"Ahorro Económico,Mejor Sabor",NO,NO,NO,"Lavado de manos,Cepillado de dientes",NO,"Vómito,Cólera,Hepatitis",,,,,1762000000028,37.4219983,5.00,0,"2025-11-26 19:39:11","https://www.google.com/maps/?q=37.4219983,5.00"
